Artists,Album,Genre,Lyrics,Mood,MoodValue
Rise Against,Amber Changing,Rock,"Information kept And everybody wants know I trust words one else 'Cause I've Your voice wasted 'cause I'm listening These calloused fingers wrapped Around black ball-point pen These eyes wander far As one time I've seen future, fading faster No place I'd rather Than right here, right There's time I'd rather Than right here, right I'm end begging Pick phone A shaking whisper answering Don't call anymore Your voice wasted 'cause I'm listening Freeze moment Thaw ten years When fires burned smoke clears No place I'd rather Than right here, right No time I'd rather Than right here, right Let's pretend Let's pretend Let's pretend, let's pretend Tonight never end Let's pretend, let's pretend That tonight never end No place I'd rather Than right here, right There's time I'd rather Than right here, right",Happy,1
Korn,Hey Daddy,Rock,Let see How life taken. This demon haunts me. They're waiting help me. You fuck I'm gagged bound. You pick When I down. I live without them. I live without them. Hey Daddy They taking Putting Things My soul They're eating Please help me. You fuck I'm gagged bound. You pick When I down. I live without I live without them. They tell thing inside Wants get out. All scream shout. I'm trying let out. They tell hurt myself. They tell hurt myself. They tell hurt myself. But I gonna listen. You fuck I'm gagged bound. You pick When I down. I live without them. I live without them. You fuck I'm gagged bound. You pick When I down. I live without them. I live without them. Hey Daddy Hey Daddy Hey Daddy,Sad,0
Agnes,I Need You Now,Rock,I need I'm fine believe You know enough know that's lie I'm close hard say To total I barely holding I need I need turn away I need oh please turn away I need I need Out I've spinning It's nearly impossible slow One night company Might thing keep sane The clock ticking fuse burning Can't keep runnin' coming Don't turn away turn away I need I need turn away I need oh please turn away How many times I come vulnerable like this? I know right question please ask I need The clock ticking fuse burning Don't turn away Can't keep runnin' coming I need I need I need Don't turn away I need oh please turn away I need The clock ticking fuse burning I need oh please turn away I need I need The clock ticking fuse burning Can't keep runnin' coming The clock ticking fuse burning Can't keep runnin' coming The clock ticking fuse burning Can't keep runnin' coming,Sad,0
Tantric,Walk Away,Rock,"Oh All ready fall, I know Out while, can't wade far From mistake I made Rent view, taken view Affecting I And gift take I tried figure cloud That I needing know Stop, lost again, remind mind And find alone With beginning time You've gotten answer folds And would walk away You're playing hand hold first day You gotta know fold walk away You're playing hand hold first day Oh, go, drop, top, ready rock And I'm one brought And get top mountain pinnacle Everyone's cynical, music's political, seldom original Silent promotion feeling within Just like ocean, crashing well All time, forgetting Looking back facts What left yourself? You gotta know fold walk away You're playing hand hold first day You gotta know fold walk away You're playing hand hold first day You gotta know fold walk away You're playing hand hold first day You gotta know fold walk away You're playing hand hold first day You gotta know fold walk away You're playing hand hold first day You gotta know fold walk away",Happy,1
Mastodon,Shadows That Move,Rock,"The US rhythm blows diseased river flow Yeah, going blow change within The UD rhythm blows With change we'll explode live",Sad,0
Korn,Ever Be,Rock,"Your infection, friend Disgusting right end Didn't I know then? I knew it, I knew You're basic hard define Simple yet somehow sublime Know strike I knew it, I knew You're that's wrong dumbass song Yeah, that's ever Nothing 'cause that's ever Polished, shimmer shined, rotten seething inside Everyone falls I knew it, I knew You're that's wrong dumbass song Yeah, that's ever Nothing 'cause that's will, will, ever Ever be, never be, want mine All be, made be, holding side Throwing it, breaking grave Sending back place came It would hard you, knowing right thing You're that's wrong dumbass song Yeah, that's ever Nothing 'cause that's ever Ever be, never be, wannabe Ever be, never be, wannabe Ever be, never be, wannabe Ever be, never be, wannabe You never be, never be, never You wanna gone, wanna gone, wanna gone It's gone, gone, gone, gone It's gone, gone Ever be, never be, wannabe",Sad,0
Extreme,Teacher's Pet,Rock,"My formal education Never bothered ABC's Teacher student relation Taught birds bees Schoolboy fantasy Lose control Of faculties You know one thing got Was body chemistry, oh Subject body language Ain't hard read lines I scored average Oral examination's I shine Schoolboy fantasy Lose control faculties Student body Graduated highest degree You know one thing got Was body chemistry, oh no, ooh ooh Purely scientifically Studied anatomy, oh no, ooh ooh One thing got Was body chemistry, oh no, ooh ooh Purely, scientifically Studied anatomy One thing got Was body chemistry Purely scientifically Studied anatomy One thing got Was body chemistry Purely scientifically Studied anatomy One thing got Was body chemistry Purely scientifically Studied anatomy Oh no, ooh ooh",Happy,1
Prozak,Go To Hell,Hip Hop/Rap,"If hate speak And prey upon weak Spreadin' lies deceits Eternal flames, feel heats And cannot make amends And follow every trend And back stab friends If ain't till end The chosen one, wicked son, call Hitchcock Talk shit I'ma hit quick block Body parts scattered sealed ziplocks With steel cats get ill'd six blocks You try run away get far They call Prozak, BITCH!, knight Templar I'll open brain like Deathstar And lyrics come like ghosts graveyard Since birth I've obsessed dead Homocidal thoughts I bein' breast fed I tried kill I survived instead From pieces broken mirror, sliced wrists, bled Shit, wicked rhymes overdose I'll leave ass comatose You try play close I'll levitate smoke When I hit fuckin' stage like, ""What's smell?"" Sulfer brimstone BITCH, go hell If hate speak And pray upon weak Spreadin' lies deceits Eternal flames, feel heats And cannot make amends And follow every trend And back stab friends If ain't till end They call Hitchcock The radios afraid play wicked paragraphs Go station lock load whole staff And let know danger us crossin' paths And let known I spit truth like polygraph So jot homie, copy There's always room another carbon copycat They tried run style I got back It's hard sound like head half If hate speak And pray upon weak Spreadin' lies deceits Eternal flames, feel heats And cannot make amends And follow every trend And back stab friends If ain't till end",Sad,0
Placebo,English Summer Rain,Pop,"Always stays same. Nothing ever changes English summer rain seems last ages Always stays same. Nothing ever changes English summer rain seems last ages I'm basement, sky I'm basement, baby. Drop I'm basement, sky I'm basement, baby. Drop Always stays same. Nothing ever changes English summer rain seems last ages Always stays same. Nothing ever changes English summer rain seems last ages I'm basement, sky I'm basement, baby. Drop I'm basement, sky I'm basement, baby. Drop Hold breath count ten, fall apart start Hold breath count ten, start again, start Hold breath count ten, fall apart start Start again, start again. Start again, start Start again, start again. Start again, start Start again, start again. Start again, start Start Always stays same. Nothing ever changes English summer rain seems last ages Always stays same. Nothing ever changes English summer rain seems last ages Hold breath count ten, fall apart start Hold breath count ten, start again, start Hold breath count ten, fall apart start Hold breath count ten, start again, start Start again, start again. Start again, start Start again, start again. Start again, start Start again, start again. Start again, start Start again, start again. Start again, start And I can't sleep without breathing And I can't breathe time leaving And I pray stay away That come back day",Sad,0
Soul Asylum,Lies Of Hate,Rock,You make fall Lies hate You make walls Lines face Nobody's watching act like fake You make crawl Lies hate You wake The lines separate And shine I know find How get How get chains How get How get How get place You make fall Lies hate And shine I know find How get How get chase How find How get How get space How get How get How get place How find How go without Living lies hate,Sad,0
Nightwish,Escapist,Rock,"Who's knocking window? The owl dead boy This night whispers name All dying children Virgin snow beneath feet Painting world white I tread way lose Myself tale Come hell high water My search go Clayborn voyage without end A nightingale golden cage That's locked inside reality's maze Come someone make heavy heart light Come undone bring back life A nightingale golden cage That's locked inside reality's maze Come someone make heavy heart light It starts lullaby Journey homeward bound A sound dolphin calling Tearing mask man The tower sole guide This I Escapist, paradise seeker Farewell time fly Out sight, time, away lies A nightingale golden cage That's locked inside reality's maze A nightingale golden cage That's locked inside reality's maze Come someone make heavy heart light Come undone bring back life A nightingale golden cage That's locked inside reality's maze Come someone make heavy heart light It starts lullaby A nightingale golden cage That's locked inside reality's maze Come someone make heavy heart light Come undone bring back life A nightingale... In golden cage...",Happy,1
Silverstein,Always And Never (Album Version),Rock,"This took fate, giving To lips, To Lies You say that, would come back haunt Crooked smile, reflection eyes That shows Why wait Beautiful mistakes Something I know seen I'm first Set trap, I've fallen every time I can't believe, everyone told This would come back haunt I can't stand see How could I ever trust Take back streets I'll start I'll never look back I'll never look back, back How feel You feel anything Don't heart attack Don't heart attack But I stop Cutting Me, razor blades perfect lines Were just, get anything want Broken hearts surround everything wanna say Which shows, wait Falling path My wallowing despair shines black It consumes me, I'll take back Give back, I can't believe Everyone told This would come back haunt I can't stand see How could I ever trust Take back streets I'll start I'll never look back I'll never look back, back How feel You feel anything Don't heart attack Don't heart attack! But I stop Everyone promised This would come back haunt I can't stand see How could I ever trust Cut out, life Like nothing Wait You can't love, Don't explain Part gone, You've taken You've taken You've taken You've taken Part gone, You've take You've taken A piece that's Take back streets I'll start I'll never look back I'll never look back, back How feel You feel anything Don't heart attack Don't heart attack But I stop You stop, never change You stop, never change",Happy,1
The Notorious B.I.G.,Who Shot Ya (Amended Album Version),Hip Hop/Rap,"Intro: Puff Daddy As proceed To give need '95 motherfuckers Get live motherfuckers -- 2X As proceed To give need East coast motherfuckers Bad Boy motherfuckers BIG - Now turn mics Turn mic up, yeah beat knockin' To microphone Turn shit fuck Uh, what? Turn louder Yeah, uh As proceed, give What need J.M. motherfuckers J.M. motherfuckers '95 motherfuckers Verse One: Who shot ya? Seperate weak ob-solete Hard creep Brooklyn streets It's nigga, fuck bickering beef I hear sweat trickling cheek Your heartbeat soun like Sasquatch feet Thundering, shaking concrete Finish it, stop, I foil plot Neighbors call cops said heard mad shots Saw drop, three corner Slaughter, electrical tape around daughter Old school new school need learn though I burn baby burn like Disco Inferno Burn slow like blunts llello Peel skins Idaho potato Niggaz know, lyrical molestin takin' place Fuckin' B.I.G. ain't safe I make skin chafe, rashes masses Bumps bruises, blunts Landcruisers Big Poppa smash fools, bash fools Niggaz mad I know Cash Rules Everything Around Me, two glock nines Any motherfucker whispering mines And I'm, Crooklyn's finest You rewind this, Bad Boy's behind As proceed To give need '95 motherfuckers Get live motherfuckers As proceed To give need East coast motherfuckers Bad Boy motherfuckers Get high motherfuckers Get high motherfuckers Smoke blunts motherfuckers Get high motherfuckers Ready die motherfuckers '95 motherfuckers Verse Two: I seen light excite freaks Stack mad chips, spread love peeps Niggaz wanna creep, got ta watch back Think cognac indo sack make slack? I switches that, cocksucker G's One false move, get Swiss cheesed Clip Tec, respect I demand Slip break 11th commandment Thou shalt fuck raw C-Poppa Feel thousand deaths I drop ya I feel you, like Chaka Khan I'm Pussy I want Rolex arm You'll die slow calm Recognize face, mistake So know tell Jake, lame nigga Brave nigga, turned front page nigga Puff Daddy flips daily I smoke blunts sips Bailey's On rocks, tote Glocks christenings And cock, fire position and... (Get live motherfuckers Ready Die motherfuckers) C'mere, c'mere Open fucking mouth, open your... I tell Don't fuck me? Huh? Didn't I tell fuck me? Look Huh? Can't talk gun mouth huh? Bitch-ass nigga, what? Who shot ya? Outro: Puff Daddy ...To give need '95 motherfuckers Get live motherfuckers Get high motherfuckers Ready Die motherfuckers Hah! As proceed... ...To give need '95 motherfuckers East coast motherfuckers West coast motherfuckers... West coast motherfuckers... hah! As proceed, give need As proceed To give need Get live motherfuckers '95 motherfuckers Get money motherfuckers As proceed To give need Get live motherfuckers '95 motherfuckers J.M. motherfuckers J.M. motherfuckers As proceeeeeeed To give need... '95...",Sad,0
Sandi Thom,Wounded Hearts,Pop,Just I tell standing rain I would loved like babe But poet needs pain And sometimes life cruel It pick drop So try love darling please refrain I'm still searching pieces Someone else took away You know I used love heart But times change. Oh baby's calling I want know I'm letting I'm letting go Oh I never wanted apart But I still know I'm wounded heart. I've seen lot heartache I've walked lonely road They say darkest times dawn But rooster crowed And wake morning Oh darling I'll gone Oh baby's calling I want know I'm letting I'm letting go Oh I never wanted apart But I still know I'm wounded heart No I still know I'm wounded heart. So many fools fall love And crying game It's crying shame That I'm fool love But I know I'm feeling And heart still healing Oh baby's calling I want know I'm letting I'm letting go Oh I never wanted apart But I still know I'm wounded heart No I still know I'm wounded heart.,Happy,1
Gene Clark,Set You Free This Time,Rock,The first thing I heard say When standing Set way blind You sure make fool Cause nothing That could see That could go beyond mind Now who's standing door Remembering days And asking please kind It set But I've set free time I never far front That I could ever ask I want And time Knowing found thought That told I And I stood behind With ones went And memories always seems Tear mind In front seem I've set free time I could never find chance choose Between way win thing lose Because stand On top love took There something You look lying hand Now who's wondering changed And arranged To thing work fine It set But I'll set free time,Happy,1
The Shirelles,Will You Love Me Tomorrow,R&B,"Tonight mine completely You give love sweetly Tonight light love eyes But love tomorrow? Is lasting treasure Or moment's pleasure? Can I believe magic sighs? Will still love tomorrow? Tonight words unspoken You say I'm one But heart broken When night meets morning sun? I'd like know love Is love I sure So tell now, I ask Will still love tomorrow? So tell now, I ask Will still love tomorrow? Will still love tomorrow? Will still love tomorrow?",Happy,1
Panic At The Disco,Northern Downpour (Album Version),Rock,"If life dream Fantastic posing greed Then feed jewelry sea For diamonds appear Just like broken glass And said can't believe Genius comes along In storms fabled foreign tongues Tripping eyes, flooded lungs Northern downpour sends love Hey moon, please forget fall Hey moon, go Sugarcane easy mornin' Weathervanes one lonely The ink running toward page It's chasin' days Look back boat feet And winding knee I missed skin east You clicked heels wished Through playful lips made yarn That fragile Capricorn Unraveled words like moths upon old scarves I know world's broken bone But melt headaches, call home Hey moon, please forget fall Hey moon, go Sugarcane easy mornin' Weather vanes one lonely Sugarcane easy mornin' Weather vanes one lonely Sugarcane easy mornin' Weather vanes one lonely Sugarcane easy mornin' Weathervanes one lonely Sugarcane The easy mornin' Weathervanes One lonely Sugarcane The easy mornin' Weathervanes One lonely Hey moon, please forget fall Hey moon, go You top lungs Drawn ones never yawn Hey moon, please forget fall Hey moon, go You top lungs Drawn ones never yawn",Happy,1
Jan Howard,Bad Seed,Country,Ain't Little Rock two weeks I Packing disappearing thin air Guys Little Rock cute I can't make heart take root Cause bad seed grow anywhere I need lots sunshine I need lots raindrops I need breathe open air I hope beg pardon town ain't garden Bad seed grow anywhere So honey kiss goodbye bad seed love kinda love need I could stay I play fair Cause bad seed grow anywhere And looking baddest bad seed Next stop Jacksonville I know I got feeling I might kinda like somewhere round Hear tell there's fertile land white pearly silver sands And bad seed grow anywhere I need lots sunshine...,Sad,0
Sticky Fingaz,Oh My God,Hip Hop/Rap,"C'mon man - oh fucking God man... Oh shit, fuck I do? It's fucking fault man, fucking fault Fuck man, fuck I man, man Why God, take her? Fuck... Why? Why? Why God why? Everything I love always seems die Answer me, speak me, I hear Answer me, motherfucker I ain't scared Is even God? Do even exist? What I gotta speak slit wrists? I'm talking God I can't see Can see me? Can see me? Are confused son, scared? Let make things clear, aware Fuck shit freaking It I God say wanted speak me? Bullshit I talking myself, I'm going insane You talking one It can't must drugs I'm high And born live die? Is life death? What birth? Why whole earth plagued cursed? Is killing sin life planets? Is adultery wrong write ten commandments? Excuse son, one question time We never born, never die In essence, Is thing death How could I write commandments kept? The soul eternal change form Then come back new face You limit love unless lack understanding To answer yes life planets The futures mystery past history Today gift that's called present Life simple unless make confusing The wise ones stand us clever using Wait - God, much I want ask God, God? Where you? God I need talk If could talk God, exactly would say? If could talk God, exactly would say? If could talk God Tell me, psychics speak telepathically? Yes use one tenth minds capacity I can't think I feel life going drain In streets everywhere I surround pain Don't think, thoughts that- thoughts Your feelings really erase taught Feelings language soul soul truth I speak aware youth But let suffering go stop it? In order anything exist, much opposite How left never right? How something know death never knew life? How lose, nobody won? How dark never sun? That grandeur, soil still blessed Form must exist part themself manifest But I never asked born, I hate life And God dammit show light And tell me- what's meaning life? The process life Is ongoing, never-ending process recreation self Is God one true religion? I'm Alpha, Omega, beginning ending We one everything living If could talk God, exactly would say? If could talk God, exactly would say? If could talk God",Sad,0
The Jeff Healey Band,Hoochie Coochie Man,Blues,"Gypsy woman told mother 'Fore I born She said, got boy-child coming And gonna son gun Gonna make pretty womens Jump shout And world wanna know What But know I'm Everybody knows I'm Well, I'm hoochie coochie man And everybody knows I'm I got black cat bone And I got mojo tooth I got John Conqueror root Gonna mess I'm gonna make girls Lead hand Then world gonna know I'm hoochie coochie man But know I'm Well well well, everybody knows I'm Well, I'm hoochie coochie man You gonna believe I'm On seventh hour On seventh day On seventh month Seven doctors say He say, ""He born good luck And see"" I got seven hundred dollars, baby Don't mess But know I'm Well, everybody knows I'm Well, I'm hoochie coochie man And everybody knows I'm",Happy,1
Danny Wilson,The Second Summer Of Love,Rock,"Ah first summer love I much young Ah first summer love clearly summer long And Jesus radio Jesus train... Jesus calico Jesus rain And love love love love Anyone could see love Love Ah second summer love tell angry friends To throw away Gaultier grow hair again. Acid radio Acid rain... Acid calico Acid rain. And love love love love Anyone could see love Love There love love love love love... Anyone could see love Love me. There love country And love world. Acid radio, acid brain, acid everywhere go, Acid rain. And love love love love, anyone could see love Love me. The love, love, love, love, love Anyone could see love Love me.",Happy,1
Shawn Colvin,Another Long One,Rock,"If losing sleep indication Of loving I've missed I would wrap around But likely I feel like And life unfortunate And reason blew like summer trees I would stop let catch But I think would find knees And gonna another long one tonight It's well-intentioned spite I said someone But one did, there's injustices I can't afford right I bought another bad dream tonight With little boys head sleeping tight It's gonna another long one tonight There comfort memory And roses cut There danger everything That's better around And last time I sense notice You right kind But I think Then I know always change mind And gonna another long one tonight It's well-intentioned spite I said someone But one did, there's injustices I can't afford right I bought another bad dream tonight With little boys head sleeping tight It's gonna another long one tonight",Sad,0
Backstreet Boys,Larger Than Life,Pop,"I may run hide screamin' name, alright But let tell now, prices fame, alright All time spent flashes light All people can't see, can't see How love's affecting reality? Every time we're down, make right And makes larger life, alright Looking crowd I see body sway, c'mon Wishin' I could thank different way, c'mon 'Cause time spent keeps us alive All people can't see, can't see How love's affecting reality? Every time we're down, make right And makes larger life Larger life Yeah, that's right All time spent keeps us alive, yeah Every time we're down, make right All people can't see, can't see How love's affecting reality? Every time we're down, make right And makes larger life Yeah, every time we're Yeah, make right Yeah, that's makes larger life, yeah All people can't see, can't see How love's affecting reality? Every time we're down, make right And makes larger, makes larger Than makes larger life, yeah",Happy,1
Glad,Blessed Assurance,Christian,"Blessed assurance, Jesus mine! Oh, foretaste glory divine! Heir salvation, purchase God Born His Spirit, washed His blood Washed His blood, washed His blood This story, song Praising Savior day long This story, song Praising Savior day long This story, song Perfect submission, perfect delight Visions rapture burst sight Angels descending bring Echoes mercy, whispers love This story, song Praising Savior day long This story, song Praising Savior day long, day long Perfect submission, rest I Savior happy blest Watching waiting, looking Filled His goodness, filled His goodness lost His love This story, song Praising Savior day long This story, song Praising Savior day long, day long Blessed assurance, Jesus mine! This story, song",Happy,1
Tom Petty,A Higher Place (Album Version),Rock,"We gotta get higher place And gotta leave night Before river takes us We gotta find somewhere that's dry We gotta run like we've never run, Or we're gonna lose light. If get higher place Find somebody help somebody, Might nobody Well, I fool I know I thought could ride I night making mind But I got doubts I got eye waterline Trying keep sense humor But get higher place Find somebody help somebody, Might nobody We gotta get higher place And I hope arrive together We gotta get higher place If wanna survive weather I remember walking town, Her hair wind I gave best kiss She gave back When I add I've left behind I want lose But get higher place Find somebody help somebody, Might nobody",Happy,1
Mitch Ryder,Jenny Take a Ride,Rock,"Oh see, C. C. Rider I said see, done Oh see, C. C. Rider I said see, done Ah, made love Now, now, now, man gone Oh, I'm going baby And I back till fall, yeah Oh, I'm going baby And I back till fall, yeah And I find new girl I back Ah, Jenny, Jenny, Jenny, come along Jenny Jenny, Jenny, come along I worry 'bout you, baby, spendin' nights misery Spinnin', spinnin', spinnin', spinnin' like spinnin' top Spinnin', spinnin', spinnin', spinnin' like spinnin' top Come along, baby, Yeah, see, C. C. Rider I said see, done Oh see, C. C. Rider Ah, come see, baby, done Ah, made love Now, now, now, man gone Jenny, Jenny, Jenny, come along Jenny Jenny, Jenny, come along Come along baby, Spin, spin, spinnin' like spinnin' top Spin, spin, spinnin' like spinnin' top",Happy,1
Lupe Fiasco,Streets On Fire (Explicit Album Version),Hip Hop/Rap,"Tonight... The stars aligned planets colliding And plan arriving smiling The fear upon us, skies tried warn us Your parents goners, children mourn It's driving crazy, war lady These bombs babies God amazing The tick timer, slip rival The pimps rise pulse, find Hey hey Death tip tongue And danger's tip fingers Streets fire tonight Death tip tongue And danger's tip fingers Streets fire tonight Disease, virus spreadin' directions No safe zone, cure protection No symptoms find, signs infection No vaccines, remedies corrections Quarantine dreams sever connections Don't let 'em friend, reflection Everybody's got wants next Don't accept 'em want stay exception No pill heal ill Sickness still doubt existence Some call forgiveness call vengeance Some say exit, say entrance The poor say rich cure The rich say poor source Revolutionaries say psychological war Invented press something report Some say first case came maternity ward Some say morgue, say skies, say floors ""Whores,"" say nuns, ""nuns,"" say whores And everybody sure The scientists say, ""it infects mind"" The little boy said, ""it infects girls"" The preacher man said, ""it's gonna kill soul"" A bum said, ""it's gonna kill whole wide world"" Death tip tongue And danger's tip finger Streets fire tonight Death tip tongue And danger's tip finger Streets fire tonight Believe! Some say neon signs loud speakers repeatin' everything fine A subtle silence demolish trouble conscience accomplished knowledge every freedom denied Every dream designed broadcasted masses masses antennaes top shrines Was fine received planted panic surely reports back everything mind Everything lyin', everything dyin' Everying rule, everything crime Everything everything rewind New weather burned feathers everything flyin' The sadness, madness, bad shit, lavish, fastest, clashes The ashes ashes, everything intertwined My femme fatale, darlin' fallen angel Once caught changin' batteries halo Receipt wings everything paid And address factory made The scientist said, ""she's already inside mind"" The little boy said, ""what happened girls?"" The preacher man said, ""she's gonna kill soul"" The dope boy said, ""it's whole wide world"" Death tip tongue And danger's tip fingers Streets fire tonight Death tip tongue And danger's tip fingers Streets fire tonight",Happy,1
Gwen Stefani,Harajuku Girls,Pop,"Wa mono - there's me, there's In pedestrian paradise Where catwalk got claws A subculture kaleidoscope fashion Prowl streets Harajuku Super lovers, tell got Yoji Yamamoto, I'm hanging locals Where catwalk got claws, fashion know-it-alls With underground malls world Harajuku Putting show dress clothes Wild hair color cell phones accessories dead-on Harajuku girls, got wicked style I like way are, I biggest fan Harajuku girls, got wicked style I like way are, I biggest fan Harajuku girls, I'm looking you, girls You're original, girls, got look makes stand Harajuku girls, I'm looking you, girls You mix match it, girls, dress fly parade around I'm fascinated Japanese fashion scene Just American girl, Tokyo streets My boyfriend bought Hysteric Glamour shirt They're hard find states, got feeling couture What's got on? Is Comme des Garçons? Vivienne Westwood can't go wrong, mixed second-hand clothes Flipped landscape Nigo made A Bathing Ape I got expensive taste guess I better save Harajuku girls, got wicked style I like way are, I biggest fan Harajuku girls, got wicked style I like way are, I biggest fan Harajuku girls , got wicked style I like way are, I biggest fan Harajuku girls , got wicked style I like way are, I biggest fan Work Express Live Command style Create it, design Now let see work Create it, design Now let see work You bring style color around world You bring style color around world You're looking distinctive like DNA Like nothing I've ever seen USA Your underground culture, visual grammar The language clothing something encounter A Ping-Pong match Eastern Western Did see inspiration latest collection? Just wait till get little hands L.A.M.B. 'Cause , means The streets Harajuku catwalk That's drop Cho saikou Harajuku girls And that's drop, that's drop Cho saikou Harajuku girls And that's drop, that's drop Harajuku girls , got wicked style I like way are, I biggest fan Harajuku girls , got wicked style I like way are, I biggest fan Harajuku girls , got wicked style I like way are, I biggest fan Harajuku girls , got wicked style I like way are, I biggest fan Style detached content A fatal attraction cuteness Style style Fashion fashion Girl, got style",Happy,1
Story Of The Year,Swallow The Knife (Live) (Segue),Rock,So open wounds bleed Until veins run dry Now take thorn And tear side Agitated fault line Still agreed disagree You're connected heart But tonight we'll set free So swallow knife Carve way pride Now hands tied The problems lie within So pray night To start Even I write All pretensions disappear Now impulses bite At ankles fear So swallow knife Carve way pride Now hands tied The problems lie within So pray night To start Now hands tied The problems lie within So pray night To start Words spoken Words broken So let's make night Be best mistake So let's take time To wipe blood away Now hands tied And world caving Now hands tied The problems lie within So pray night To start Now hands tied And problems lie within Words spoken Words broken Broken Broken,Sad,0
Natural Elements,Mayday,Hip Hop/Rap,"Whoever front line gettin' struck first We mercinaries, fuck turf Every verse varied, I bust first Mayday, Natural Elements controllin' ship Rollin' spliff probably put soul twist But I remain bonin' bitch Got buck-naked posin' flicks Actin' like never known shit But I look shoulder see enemy lookin' Physically strong mentally shooken And penetentiary bookin's shit happens Get orders nigga Charlemagne ship Captain You sound like bitch yappin' This shit Natural us Like blowin' endo window back bus I move back I bust Rapid fire You actin' flyer Now family's black attire With mad desire When caught line duty You mind shoot But every soldier kind sollutes Now I'm reclinin' Lucy All niggas Smoke filter Holdin' frown picture You smell smoke I walk past You saw blasts You known drama warpath. Mayday Mayday, raise white flags, time payday, Payday, like that, shit World Wide, North, South, East, And West, put shield, lets see who's best. Repeat 1x You feel burnin' emission You squirm submission No terms conditions Y'all confirm suspicions That y'all bitches resemble Men Like female Tennis players Wimbledon Why tremblin'? Shook like ricter My voice raise waves And make y'all change ways like crooks turnin' Muslim Blast shots burnin' Bosom Like bitch cramps You got lucky people told switch camps Or get damp plenty led I'm like beast many heads Sort like Predators dreads I got arms Dr. Octavious Rock whole block radius I bomb And I bleed nitrogliceren slice palm The Don gone long rap biz? Wet domes John baptist When gat spits It ain't till last man's limbs Are twisted like doin' Yoga In fact Pistol's longer Jokers I ignite Mag's Leave toe wearin' white tag So, y'all niggas better raise white flag. I swear there's war air New York streets You talk beef? You swollen Melon, humble With loaded weapons, nowhere run We mega high, jet sky, droppin' bombs, Prepare crumble rock on, Beware jungle Anaconda's Don't puff much 'cause enemy smells Marijuana We blastin' every object Combat honor So yo, remember agenda plan action No retreat, surrender, keep cannons blastin' We blastin' heat till member turns has-beens Soldiers bangin', who's click'll get done? My crew taste victory tip tongue Always prepared physically, take clip gun And put in, 'cause many niggas'll run? You said win, bullets ya flesh, cave chest You pullin' breath, I'm claimin' death You shouldn't've stepped, war paint chest Fatigue green black And heat reacts To make bleed like hemophiliacs See strapped, heavily armed, repetitively Releasin' caps till enemy's gone, definitely My people pack metal me, let legend born I declare war, on.",Happy,1
Neil Sedaka,Because Of You,Pop,Because there's song heart Because romance start Because sun shine The moon stars say mine Forever never part I live love kiss It's really paradise near like Because life worthwhile And I smile I live love kiss It's paradise near like Because life worthwhile And I smile And I smile,Happy,1
A Static Lullaby,Rattlesnake!,Rock,"God damn, holy diver. You made right back bed. Manifested lips whisper kiss. That whisper kiss. Hey, hey, hey. Pull shades. I'm gutted. Guilty, played. And lonely. I admit see again. My end desperately engaged. Dark, departed, hollow. You see I'm shadow. This ravenous beast chasing shame. A shadow remains. How voice carry tonight? How I look lights? Shove head grand ivory keys. Maybe teach sing. Fuck hope, I'm terror. Heavyweight human disaster. I think I found Love. what's love? When can't loved? Burn, burn, burn down. Icarus hit ground. To youth thought could fly. I bottled drank died. Palest white. I'm blues reds. This patriot long past dead. Forever ending. Remain still gone. Oh god I fear steel. Oh I fear steel. Burn. My end desperately engaged.",Happy,1
Nights Like These,Ghost Town Rituals (Album Version),Rock,"And I open eyes I see end An ending life I've forgotten live. I keep forgetting, I keep rebuilding. This I say I'm done. I learned. No one show me, I go own. Honestly, I'm fucking pitiful. Don't tell I've heard before. Destined walk another day alone. This day dying. This day fucking dead. Just shine way back home. You stay find comfort. Don't speak. Just breathe instead. Just leave alone. I need it, I deserve it. I want I promised myself. I want promised us all. I'm coming terms. This end denial. Sometimes things fall apart. Angels laugh demons wait below. I'm naked, bare, broken, ready go home. Now I need ever. And heaven overlooks I'll need pick back",Happy,1
Oasis,Morning Glory,Pop,"All dreams made When chained mirror like razor blade Today's day world see Another sunny afternoon Walking sound favourite tune Tomorrow never knows know soon Need little time wake Need little time wake up, wake Need little time wake Need little time rest mind You know I guess might well What's story morning glory, well? You need little time wake up, wake up, well What's story morning glory, well? Need little time wake up, wake All dreams made When chained mirror like razor blade Today's day world see Another sunny afternoon Walking sound favourite tune Tomorrow never knows know soon Need little time wake Need little time wake up, wake Need little time wake Need little time rest mind You know I guess might well What's story morning glory, well? Need little time wake up, wake up, well What's story morning glory, well? You need little time wake up, wake up, well What's story morning glory, well? Need little time wake up, wake up, well What's story morning glory, well? Need little time wake up, wake",Sad,0
Eddy Arnold,Just A Little Lovin' (Will Go A Long Way),Country,Just little lovin' go long way And make happy rest days Put arms around I'll slave Cause little lovin' go long way Ever since time began love ruled world Even Adam set pace started whirl I met I know one Come back plainly see Just little lovin'... I believe really know much I love If come back make dreams come true Your eyes lips loving kisses seem linger yet I'll forgive please forget That little lovin'...,Happy,1
